dataset,generator,variant,verifier_variant,method,vehicles,distance,feasible,violations,runtime,typed_feedback,action_rules,route_elimination_called,bks_vehicles,bks_distance,vehicle_gap,distance_gap_pct,distance_gap_comparable,bks_source
R107,nearest_neighbor,binary_feasibility_only,binary_feasibility_only,nearest_neighbor+binary_feasibility_only,14,1472.849069,True,0,7.910522,False,False,False,10,1104.66,4,33.330533,False,SINTEF VRPTW 100 customers
R107,nearest_neighbor,typed_action_rules,typed_action_rules,nearest_neighbor+typed_action_rules,13,1401.737516,True,0,7.131380,True,True,True,10,1104.66,3,26.893118,False,SINTEF VRPTW 100 customers
R107,nearest_neighbor,typed_diagnostics_only,typed_diagnostics_only,nearest_neighbor+typed_diagnostics_only,14,1472.849069,True,0,7.875258,True,False,False,10,1104.66,4,33.330533,False,SINTEF VRPTW 100 customers
R108,nearest_neighbor,binary_feasibility_only,binary_feasibility_only,nearest_neighbor+binary_feasibility_only,13,1320.690099,True,0,11.823547,False,False,False,9,960.88,4,37.445893,False,SINTEF VRPTW 100 customers
R108,nearest_neighbor,typed_action_rules,typed_action_rules,nearest_neighbor+typed_action_rules,11,1311.921639,True,0,3.220678,True,True,True,9,960.88,2,36.533348,False,SINTEF VRPTW 100 customers
R108,nearest_neighbor,typed_diagnostics_only,typed_diagnostics_only,nearest_neighbor+typed_diagnostics_only,13,1320.690099,True,0,11.880526,True,False,False,9,960.88,4,37.445893,False,SINTEF VRPTW 100 customers
R109,nearest_neighbor,binary_feasibility_only,binary_feasibility_only,nearest_neighbor+binary_feasibility_only,17,1529.215640,True,0,6.081540,False,False,False,11,1194.73,6,27.996756,False,SINTEF VRPTW 100 customers
R109,nearest_neighbor,typed_action_rules,typed_action_rules,nearest_neighbor+typed_action_rules,14,1477.529637,True,0,1.881495,True,True,True,11,1194.73,3,23.670590,False,SINTEF VRPTW 100 customers
R109,nearest_neighbor,typed_diagnostics_only,typed_diagnostics_only,nearest_neighbor+typed_diagnostics_only,17,1529.215640,True,0,6.040466,True,False,False,11,1194.73,6,27.996756,False,SINTEF VRPTW 100 customers
R110,nearest_neighbor,binary_feasibility_only,binary_feasibility_only,nearest_neighbor+binary_feasibility_only,14,1461.786630,True,0,11.324587,False,False,False,10,1118.84,4,30.651982,False,SINTEF VRPTW 100 customers
R110,nearest_neighbor,typed_action_rules,typed_action_rules,nearest_neighbor+typed_action_rules,13,1404.851087,True,0,5.765316,True,True,True,10,1118.84,3,25.563180,False,SINTEF VRPTW 100 customers
R110,nearest_neighbor,typed_diagnostics_only,typed_diagnostics_only,nearest_neighbor+typed_diagnostics_only,14,1461.786630,True,0,11.325750,True,False,False,10,1118.84,4,30.651982,False,SINTEF VRPTW 100 customers
R111,nearest_neighbor,binary_feasibility_only,binary_feasibility_only,nearest_neighbor+binary_feasibility_only,16,1435.745710,True,0,10.834853,False,False,False,10,1096.73,6,30.911501,False,SINTEF VRPTW 100 customers
