dataset,method,base_vehicles,base_distance,vehicles,distance,feasible,violations,runtime,bks_vehicles,bks_distance,vehicle_gap,distance_gap_pct,distance_gap_comparable,bks_source
C106,regret_insertion+basic_alns,11,1593.740657,10,906.180426,True,0,21.083172,10,828.94,0,9.317975,True,SINTEF VRPTW 100 customers
C107,greedy_insertion+basic_alns,11,1247.360024,10,885.816729,True,0,21.251898,10,828.94,0,6.861381,True,SINTEF VRPTW 100 customers
C107,nearest_neighbor+basic_alns,12,1839.915144,11,1023.866787,True,0,15.871800,10,828.94,1,23.515187,False,SINTEF VRPTW 100 customers
C107,regret_insertion+basic_alns,12,1892.708999,10,1029.429797,True,0,21.061732,10,828.94,0,24.186286,True,SINTEF VRPTW 100 customers
C108,greedy_insertion+basic_alns,11,1269.958648,10,906.704523,True,0,21.041924,10,828.94,0,9.381200,True,SINTEF VRPTW 100 customers
C108,nearest_neighbor+basic_alns,11,1841.192442,10,1124.686571,True,0,15.268082,10,828.94,0,35.677681,True,SINTEF VRPTW 100 customers
C108,regret_insertion+basic_alns,13,3228.264698,10,1138.692120,True,0,20.716076,10,828.94,0,37.367255,True,SINTEF VRPTW 100 customers
C109,greedy_insertion+basic_alns,10,1168.131145,10,873.806186,True,0,21.311747,10,828.94,0,5.412477,True,SINTEF VRPTW 100 customers
C109,nearest_neighbor+basic_alns,11,1631.019769,10,1019.677150,True,0,15.406809,10,828.94,0,23.009765,True,SINTEF VRPTW 100 customers
C109,regret_insertion+basic_alns,12,2893.942158,10,1100.552413,True,0,20.933083,10,828.94,0,32.766233,True,SINTEF VRPTW 100 customers
C201,greedy_insertion+basic_alns,3,705.487174,3,690.397914,True,0,26.075922,3,591.56,0,16.708012,True,SINTEF VRPTW 100 customers
C201,nearest_neighbor+basic_alns,4,1045.346585,3,591.556557,True,0,15.171681,3,591.56,0,-0.000582,True,SINTEF VRPTW 100 customers
C201,regret_insertion+basic_alns,4,1153.049584,4,889.376761,True,0,26.218445,3,591.56,1,50.344303,False,SINTEF VRPTW 100 customers
C202,greedy_insertion+basic_alns,3,822.055616,3,792.941071,True,0,25.712101,3,591.56,0,34.042375,True,SINTEF VRPTW 100 customers
C202,nearest_neighbor+basic_alns,4,1028.833819,3,735.096999,True,0,15.192341,3,591.56,0,24.264149,True,SINTEF VRPTW 100 customers
C202,regret_insertion+basic_alns,4,1643.556985,3,628.659183,True,0,25.274740,3,591.56,0,6.271415,True,SINTEF VRPTW 100 customers
C203,greedy_insertion+basic_alns,4,1132.775187,3,838.121991,True,0,25.628078,3,591.17,0,41.773431,True,SINTEF VRPTW 100 customers
C203,nearest_neighbor+basic_alns,4,1267.362979,4,726.906947,True,0,16.338777,3,591.17,1,22.960730,False,SINTEF VRPTW 100 customers
C203,regret_insertion+basic_alns,4,2277.802009,4,953.436577,True,0,25.332822,3,591.17,1,61.279594,False,SINTEF VRPTW 100 customers
C204,greedy_insertion+basic_alns,4,1066.620161,3,747.815728,True,0,25.746979,3,590.60,0,26.619663,True,SINTEF VRPTW 100 customers
C204,nearest_neighbor+basic_alns,4,1192.187947,4,801.560842,True,0,16.847722,3,590.60,1,35.719750,False,SINTEF VRPTW 100 customers
C204,regret_insertion+basic_alns,4,2061.918052,4,1022.542032,True,0,25.841313,3,590.60,1,73.136138,False,SINTEF VRPTW 100 customers
C205,greedy_insertion+basic_alns,4,1003.286550,3,683.447099,True,0,25.712867,3,588.88,0,16.058806,True,SINTEF VRPTW 100 customers
C205,nearest_neighbor+basic_alns,4,1012.498988,3,644.322999,True,0,15.170966,3,588.88,0,9.414991,True,SINTEF VRPTW 100 customers
C205,regret_insertion+basic_alns,4,2150.069390,4,851.498559,True,0,25.582099,3,588.88,1,44.596278,False,SINTEF VRPTW 100 customers
C206,greedy_insertion+basic_alns,4,948.544027,3,695.162113,True,0,25.788144,3,588.49,0,18.126410,True,SINTEF VRPTW 100 customers
C206,nearest_neighbor+basic_alns,4,1040.963602,3,726.543410,True,0,16.354073,3,588.49,0,23.458922,True,SINTEF VRPTW 100 customers
C206,regret_insertion+basic_alns,4,2394.262697,3,638.752796,True,0,24.684157,3,588.49,0,8.540977,True,SINTEF VRPTW 100 customers
C207,greedy_insertion+basic_alns,4,979.629568,3,683.002451,True,0,25.826944,3,588.29,0,16.099619,True,SINTEF VRPTW 100 customers
C207,nearest_neighbor+basic_alns,4,1021.747227,3,709.389282,True,0,15.268367,3,588.29,0,20.584964,True,SINTEF VRPTW 100 customers
C207,regret_insertion+basic_alns,4,2607.469290,4,964.809664,True,0,25.468894,3,588.29,1,64.002391,False,SINTEF VRPTW 100 customers
C208,greedy_insertion+basic_alns,4,1182.865631,3,885.831545,True,0,25.424235,3,588.32,0,50.569681,True,SINTEF VRPTW 100 customers
C208,nearest_neighbor+basic_alns,3,1018.051233,3,825.876068,True,0,15.116185,3,588.32,0,40.378717,True,SINTEF VRPTW 100 customers
C208,regret_insertion+basic_alns,4,1750.999372,3,833.470358,True,0,26.783444,3,588.32,0,41.669560,True,SINTEF VRPTW 100 customers
R101,greedy_insertion+basic_alns,22,2280.853437,21,1787.299536,True,0,20.569856,19,1650.80,2,8.268690,False,SINTEF VRPTW 100 customers
R101,nearest_neighbor+basic_alns,22,2057.642550,20,1762.729506,True,0,15.372254,19,1650.80,1,6.780319,False,SINTEF VRPTW 100 customers
R101,regret_insertion+basic_alns,24,2526.961156,20,1841.036196,True,0,20.174833,19,1650.80,1,11.523879,False,SINTEF VRPTW 100 customers
R102,greedy_insertion+basic_alns,19,2094.211757,17,1503.778206,True,0,20.880942,17,1486.12,0,1.188209,True,SINTEF VRPTW 100 customers
R102,nearest_neighbor+basic_alns,19,1851.454046,18,1561.949027,True,0,15.560696,17,1486.12,1,5.102483,False,SINTEF VRPTW 100 customers
R102,regret_insertion+basic_alns,21,2493.269607,19,1649.882947,True,0,20.571233,17,1486.12,2,11.019497,False,SINTEF VRPTW 100 customers
R103,greedy_insertion+basic_alns,15,1763.974710,14,1307.306674,True,0,21.323361,13,1292.68,1,1.131500,False,SINTEF VRPTW 100 customers
