dataset,generator,variant,vehicles,distance,feasible,violations,base_runtime,bks_vehicles,bks_distance,vehicle_gap,distance_gap_pct,distance_gap_comparable,bks_source
C107,nearest_neighbor,full_ftv,12,1441.927019,True,0,0.014384,10,828.94,2,73.948298,False,SINTEF VRPTW 100 customers
C107,regret_insertion,fast_only,13,1947.807614,True,0,0.328796,10,828.94,3,134.975706,False,SINTEF VRPTW 100 customers
C107,regret_insertion,fast_repair,13,1947.807614,True,0,0.328796,10,828.94,3,134.975706,False,SINTEF VRPTW 100 customers
C107,regret_insertion,fast_repair_merge,13,1947.807614,True,0,0.328796,10,828.94,3,134.975706,False,SINTEF VRPTW 100 customers
C107,regret_insertion,fast_repair_merge_elim,12,1892.708999,True,0,0.328796,10,828.94,2,128.328829,False,SINTEF VRPTW 100 customers
C107,regret_insertion,full_ftv,12,1655.453312,True,0,0.328796,10,828.94,2,99.707254,False,SINTEF VRPTW 100 customers
C108,greedy_insertion,fast_only,11,1269.958648,True,0,0.331742,10,828.94,1,53.202723,False,SINTEF VRPTW 100 customers
C108,greedy_insertion,fast_repair,11,1269.958648,True,0,0.331742,10,828.94,1,53.202723,False,SINTEF VRPTW 100 customers
C108,greedy_insertion,fast_repair_merge,11,1269.958648,True,0,0.331742,10,828.94,1,53.202723,False,SINTEF VRPTW 100 customers
C108,greedy_insertion,fast_repair_merge_elim,11,1269.958648,True,0,0.331742,10,828.94,1,53.202723,False,SINTEF VRPTW 100 customers
C108,greedy_insertion,full_ftv,11,1034.940516,True,0,0.331742,10,828.94,1,24.851077,False,SINTEF VRPTW 100 customers
C108,nearest_neighbor,fast_only,17,2103.407427,True,0,0.013809,10,828.94,7,153.746644,False,SINTEF VRPTW 100 customers
C108,nearest_neighbor,fast_repair,17,2103.407427,True,0,0.013809,10,828.94,7,153.746644,False,SINTEF VRPTW 100 customers
C108,nearest_neighbor,fast_repair_merge,15,2124.047439,True,0,0.013809,10,828.94,5,156.236572,False,SINTEF VRPTW 100 customers
C108,nearest_neighbor,fast_repair_merge_elim,11,1841.192442,True,0,0.013809,10,828.94,1,122.114078,False,SINTEF VRPTW 100 customers
C108,nearest_neighbor,full_ftv,11,1554.592767,True,0,0.013809,10,828.94,1,87.539842,False,SINTEF VRPTW 100 customers
C108,regret_insertion,fast_only,14,3318.987632,True,0,0.354604,10,828.94,4,300.389369,False,SINTEF VRPTW 100 customers
C108,regret_insertion,fast_repair,14,3318.987632,True,0,0.354604,10,828.94,4,300.389369,False,SINTEF VRPTW 100 customers
C108,regret_insertion,fast_repair_merge,14,3318.987632,True,0,0.354604,10,828.94,4,300.389369,False,SINTEF VRPTW 100 customers
C108,regret_insertion,fast_repair_merge_elim,13,3099.084216,True,0,0.354604,10,828.94,3,273.861102,False,SINTEF VRPTW 100 customers
C108,regret_insertion,full_ftv,13,2103.383885,True,0,0.354604,10,828.94,3,153.743804,False,SINTEF VRPTW 100 customers
C109,greedy_insertion,fast_only,10,1126.125424,True,0,0.388216,10,828.94,0,35.851259,True,SINTEF VRPTW 100 customers
C109,greedy_insertion,fast_repair,10,1126.125424,True,0,0.388216,10,828.94,0,35.851259,True,SINTEF VRPTW 100 customers
