dataset,method,initial_vehicles,initial_distance,vehicles,distance,feasible,violations,runtime,pairs,selected_seed,seed_pool,bks_vehicles,bks_distance,vehicle_gap,distance_gap_pct,distance_gap_comparable,bks_source
lr108,greedy_pair_insertion,13,1289.404462,11,1169.010120,True,0,1.191252,50,,,9,968.97,2,20.644614,False,SINTEF PDPTW 100 tasks
lr108,greedy_pair_insertion+ordinary_alns,11,1169.010120,11,1169.010120,True,0,13.914981,50,42,42,9,968.97,2,20.644614,False,SINTEF PDPTW 100 tasks
lr108,greedy_pair_insertion+pair_alns,11,1169.010120,10,1017.308301,True,0,21.406005,50,42,42,9,968.97,1,4.988627,False,SINTEF PDPTW 100 tasks
lr109,greedy_pair_insertion,16,1550.217492,14,1411.682642,True,0,1.009871,53,,,11,1208.96,3,16.768350,False,SINTEF PDPTW 100 tasks
lr109,greedy_pair_insertion+ordinary_alns,14,1411.682642,14,1411.682642,True,0,12.502911,53,42,42,11,1208.96,3,16.768350,False,SINTEF PDPTW 100 tasks
lr109,greedy_pair_insertion+pair_alns,14,1411.682642,12,1278.654082,True,0,21.529630,53,42,42,11,1208.96,1,5.764796,False,SINTEF PDPTW 100 tasks
lr110,greedy_pair_insertion,15,1502.092350,14,1424.959130,True,0,0.940756,52,,,10,1159.35,4,22.910176,False,SINTEF PDPTW 100 tasks
lr110,greedy_pair_insertion+ordinary_alns,14,1424.959130,14,1424.959130,True,0,12.669520,52,42,42,10,1159.35,4,22.910176,False,SINTEF PDPTW 100 tasks
lr110,greedy_pair_insertion+pair_alns,14,1424.959130,12,1220.400018,True,0,21.229166,52,42,42,10,1159.35,2,5.265883,False,SINTEF PDPTW 100 tasks
lr111,greedy_pair_insertion,13,1374.708537,13,1374.708537,True,0,1.275336,54,,,10,1108.90,3,23.970470,False,SINTEF PDPTW 100 tasks
lr111,greedy_pair_insertion+ordinary_alns,13,1374.708537,13,1374.708537,True,0,14.872262,54,42,42,10,1108.90,3,23.970470,False,SINTEF PDPTW 100 tasks
lr111,greedy_pair_insertion+pair_alns,13,1374.708537,11,1163.953600,True,0,21.614215,54,42,42,10,1108.90,1,4.964704,False,SINTEF PDPTW 100 tasks
lr112,greedy_pair_insertion,13,1279.594251,12,1196.343390,True,0,1.514489,53,,,9,1003.77,3,19.185012,False,SINTEF PDPTW 100 tasks
lr112,greedy_pair_insertion+ordinary_alns,12,1196.343390,12,1196.343390,True,0,16.712426,53,42,42,9,1003.77,3,19.185012,False,SINTEF PDPTW 100 tasks
lr112,greedy_pair_insertion+pair_alns,12,1196.343390,11,1094.456981,True,0,21.858880,53,42,42,9,1003.77,2,9.034638,False,SINTEF PDPTW 100 tasks
lr201,greedy_pair_insertion,6,1550.797211,5,1578.539736,True,0,2.430330,51,,,4,1253.23,1,25.957704,False,SINTEF PDPTW 100 tasks
lr201,greedy_pair_insertion+ordinary_alns,5,1578.539736,5,1578.539736,True,0,22.872008,51,42,42,4,1253.23,1,25.957704,False,SINTEF PDPTW 100 tasks
lr201,greedy_pair_insertion+pair_alns,5,1578.539736,5,1453.618681,True,0,23.925147,51,42,42,4,1253.23,1,15.989777,False,SINTEF PDPTW 100 tasks
lr202,greedy_pair_insertion,5,1629.192599,5,1629.192599,True,0,3.549393,50,,,3,1197.67,2,36.030175,False,SINTEF PDPTW 100 tasks
lr202,greedy_pair_insertion+ordinary_alns,5,1629.192599,5,1629.192599,True,0,24.210309,50,42,42,3,1197.67,2,36.030175,False,SINTEF PDPTW 100 tasks
lr202,greedy_pair_insertion+pair_alns,5,1629.192599,4,1368.087904,True,0,24.406478,50,42,42,3,1197.67,1,14.229120,False,SINTEF PDPTW 100 tasks
lr203,greedy_pair_insertion,4,1343.344368,4,1343.344368,True,0,5.502951,51,,,3,949.40,1,41.494035,False,SINTEF PDPTW 100 tasks
lr203,greedy_pair_insertion+ordinary_alns,4,1343.344368,4,1343.344368,True,0,27.262132,51,42,42,3,949.40,1,41.494035,False,SINTEF PDPTW 100 tasks
lr203,greedy_pair_insertion+pair_alns,4,1343.344368,3,1419.188887,True,0,26.802493,51,42,42,3,949.40,0,49.482714,True,SINTEF PDPTW 100 tasks
lr204,greedy_pair_insertion,4,1338.402688,3,1327.284233,True,0,10.422613,50,,,2,849.05,1,56.325803,False,SINTEF PDPTW 100 tasks
lr204,greedy_pair_insertion+ordinary_alns,3,1327.284233,3,1327.284233,True,0,32.060102,50,42,42,2,849.05,1,56.325803,False,SINTEF PDPTW 100 tasks
lr204,greedy_pair_insertion+pair_alns,3,1327.284233,3,1200.405275,True,0,32.323736,50,42,42,2,849.05,1,41.382165,False,SINTEF PDPTW 100 tasks
lr205,greedy_pair_insertion,4,1811.127458,4,1811.127458,True,0,6.633561,51,,,3,1054.02,1,71.830464,False,SINTEF PDPTW 100 tasks
lr205,greedy_pair_insertion+ordinary_alns,4,1811.127458,4,1811.127458,True,0,27.157304,51,42,42,3,1054.02,1,71.830464,False,SINTEF PDPTW 100 tasks
lr205,greedy_pair_insertion+pair_alns,4,1811.127458,4,1453.585313,True,0,27.762049,51,42,42,3,1054.02,1,37.908703,False,SINTEF PDPTW 100 tasks
lr206,greedy_pair_insertion,4,1453.839351,4,1453.839351,True,0,4.470118,50,,,3,931.63,1,56.053299,False,SINTEF PDPTW 100 tasks
lr206,greedy_pair_insertion+ordinary_alns,4,1453.839351,4,1453.839351,True,0,25.567178,50,42,42,3,931.63,1,56.053299,False,SINTEF PDPTW 100 tasks
lr206,greedy_pair_insertion+pair_alns,4,1453.839351,3,1086.271191,True,0,25.238546,50,42,42,3,931.63,0,16.598992,True,SINTEF PDPTW 100 tasks
lr207,greedy_pair_insertion,3,1414.197547,3,1414.197547,True,0,8.865156,51,,,2,903.06,1,56.600619,False,SINTEF PDPTW 100 tasks
lr207,greedy_pair_insertion+ordinary_alns,3,1414.197547,3,1414.197547,True,0,29.807528,51,42,42,2,903.06,1,56.600619,False,SINTEF PDPTW 100 tasks
lr207,greedy_pair_insertion+pair_alns,3,1414.197547,3,1173.780234,True,0,32.327580,51,42,42,2,903.06,1,29.978100,False,SINTEF PDPTW 100 tasks
lr208,greedy_pair_insertion,3,1123.196729,3,1123.196729,True,0,10.662667,50,,,2,734.85,1,52.847075,False,SINTEF PDPTW 100 tasks
lr208,greedy_pair_insertion+ordinary_alns,3,1123.196729,3,1123.196729,True,0,34.219039,50,42,42,2,734.85,1,52.847075,False,SINTEF PDPTW 100 tasks
