dataset,generator,variant,vehicles,distance,feasible,violations,base_runtime
C109,nearest_neighbor,fast_repair,14,1788.553875,True,0,0.007062
C109,nearest_neighbor,fast_repair_merge,13,1780.265132,True,0,0.007062
C109,nearest_neighbor,fast_repair_merge_elim,11,1631.019769,True,0,0.007062
C109,nearest_neighbor,full_ftv,11,1435.160207,True,0,0.007062
C109,regret_insertion,fast_only,13,2951.448448,True,0,0.393036
C109,regret_insertion,fast_repair,13,2951.448448,True,0,0.393036
C109,regret_insertion,fast_repair_merge,13,2951.448448,True,0,0.393036
C109,regret_insertion,fast_repair_merge_elim,12,2787.715719,True,0,0.393036
C109,regret_insertion,full_ftv,12,1964.880695,True,0,0.393036
C201,greedy_insertion,fast_only,3,705.487174,True,0,0.301206
C201,greedy_insertion,fast_repair,3,705.487174,True,0,0.301206
C201,greedy_insertion,fast_repair_merge,3,705.487174,True,0,0.301206
C201,greedy_insertion,fast_repair_merge_elim,3,705.487174,True,0,0.301206
C201,greedy_insertion,full_ftv,3,690.397914,True,0,0.301206
C201,nearest_neighbor,fast_only,15,1880.468130,True,0,0.007142
C201,nearest_neighbor,fast_repair,15,1880.468130,True,0,0.007142
C201,nearest_neighbor,fast_repair_merge,6,1599.980184,True,0,0.007142
C201,nearest_neighbor,fast_repair_merge_elim,4,1045.346585,True,0,0.007142
C201,nearest_neighbor,full_ftv,4,867.666890,True,0,0.007142
C201,regret_insertion,fast_only,5,1357.542361,True,0,0.302594
C201,regret_insertion,fast_repair,5,1357.542361,True,0,0.302594
C201,regret_insertion,fast_repair_merge,5,1357.542361,True,0,0.302594
C201,regret_insertion,fast_repair_merge_elim,4,1153.049584,True,0,0.302594
C201,regret_insertion,full_ftv,4,1002.210982,True,0,0.302594
C202,greedy_insertion,fast_only,4,885.444957,True,0,0.389456
C202,greedy_insertion,fast_repair,4,885.444957,True,0,0.389456
C202,greedy_insertion,fast_repair_merge,4,885.444957,True,0,0.389456
C202,greedy_insertion,fast_repair_merge_elim,3,822.055616,True,0,0.389456
C202,greedy_insertion,full_ftv,3,813.839393,True,0,0.389456
C202,nearest_neighbor,fast_only,14,1603.092926,True,0,0.006995
C202,nearest_neighbor,fast_repair,14,1603.092926,True,0,0.006995
C202,nearest_neighbor,fast_repair_merge,6,1466.141494,True,0,0.006995
C202,nearest_neighbor,fast_repair_merge_elim,4,1028.833819,True,0,0.006995
C202,nearest_neighbor,full_ftv,4,916.335131,True,0,0.006995
C202,regret_insertion,fast_only,4,1908.120002,True,0,0.418906
C202,regret_insertion,fast_repair,4,1908.120002,True,0,0.418906
C202,regret_insertion,fast_repair_merge,4,1908.120002,True,0,0.418906
C202,regret_insertion,fast_repair_merge_elim,4,1908.120002,True,0,0.418906
C202,regret_insertion,full_ftv,4,1259.418980,True,0,0.418906
C203,greedy_insertion,fast_only,4,1132.775187,True,0,0.503735
C203,greedy_insertion,fast_repair,4,1132.775187,True,0,0.503735
C203,greedy_insertion,fast_repair_merge,4,1132.775187,True,0,0.503735
C203,greedy_insertion,fast_repair_merge_elim,4,1132.775187,True,0,0.503735
C203,greedy_insertion,full_ftv,4,868.574623,True,0,0.503735
C203,nearest_neighbor,fast_only,11,1583.700653,True,0,0.006346
C203,nearest_neighbor,fast_repair,11,1583.700653,True,0,0.006346
C203,nearest_neighbor,fast_repair_merge,5,1428.710348,True,0,0.006346
C203,nearest_neighbor,fast_repair_merge_elim,4,1267.362979,True,0,0.006346
C203,nearest_neighbor,full_ftv,4,1182.427083,True,0,0.006346
C203,regret_insertion,fast_only,4,2082.306207,True,0,0.517925
C203,regret_insertion,fast_repair,4,2082.306207,True,0,0.517925
C203,regret_insertion,fast_repair_merge,4,2082.306207,True,0,0.517925
C203,regret_insertion,fast_repair_merge_elim,4,2082.306207,True,0,0.517925
C203,regret_insertion,full_ftv,4,1507.553370,True,0,0.517925
C204,greedy_insertion,fast_only,4,1066.620161,True,0,0.707810
C204,greedy_insertion,fast_repair,4,1066.620161,True,0,0.707810
C204,greedy_insertion,fast_repair_merge,4,1066.620161,True,0,0.707810
C204,greedy_insertion,fast_repair_merge_elim,4,1066.620161,True,0,0.707810
C204,greedy_insertion,full_ftv,4,799.887518,True,0,0.707810
C204,nearest_neighbor,fast_only,9,1446.731513,True,0,0.005927
C204,nearest_neighbor,fast_repair,9,1446.731513,True,0,0.005927
C204,nearest_neighbor,fast_repair_merge,5,1252.518717,True,0,0.005927
C204,nearest_neighbor,fast_repair_merge_elim,4,1192.187947,True,0,0.005927
C204,nearest_neighbor,full_ftv,4,1048.994556,True,0,0.005927
C204,regret_insertion,fast_only,4,2078.689124,True,0,0.632233
C204,regret_insertion,fast_repair,4,2078.689124,True,0,0.632233
C204,regret_insertion,fast_repair_merge,4,2078.689124,True,0,0.632233
C204,regret_insertion,fast_repair_merge_elim,4,2078.689124,True,0,0.632233
C204,regret_insertion,full_ftv,4,1570.356186,True,0,0.632233
C205,greedy_insertion,fast_only,4,1003.286550,True,0,0.345722
C205,greedy_insertion,fast_repair,4,1003.286550,True,0,0.345722
C205,greedy_insertion,fast_repair_merge,4,1003.286550,True,0,0.345722
C205,greedy_insertion,fast_repair_merge_elim,4,1003.286550,True,0,0.345722
C205,greedy_insertion,full_ftv,4,834.238813,True,0,0.345722
C205,nearest_neighbor,fast_only,9,1485.096531,True,0,0.006968
C205,nearest_neighbor,fast_repair,9,1485.096531,True,0,0.006968
C205,nearest_neighbor,fast_repair_merge,6,1430.824110,True,0,0.006968
C205,nearest_neighbor,fast_repair_merge_elim,4,1012.498988,True,0,0.006968
C205,nearest_neighbor,full_ftv,4,846.605023,True,0,0.006968
C205,regret_insertion,fast_only,5,2595.460365,True,0,0.340941
C205,regret_insertion,fast_repair,5,2595.460365,True,0,0.340941
C205,regret_insertion,fast_repair_merge,5,2595.460365,True,0,0.340941
C205,regret_insertion,fast_repair_merge_elim,4,2150.069390,True,0,0.340941
C205,regret_insertion,full_ftv,4,1630.926387,True,0,0.340941
C206,greedy_insertion,fast_only,4,948.544027,True,0,0.368146
C206,greedy_insertion,fast_repair,4,948.544027,True,0,0.368146
C206,greedy_insertion,fast_repair_merge,4,948.544027,True,0,0.368146
C206,greedy_insertion,fast_repair_merge_elim,4,948.544027,True,0,0.368146
C206,greedy_insertion,full_ftv,4,751.894006,True,0,0.368146
C206,nearest_neighbor,fast_only,8,1267.886743,True,0,0.006762
C206,nearest_neighbor,fast_repair,8,1267.886743,True,0,0.006762
C206,nearest_neighbor,fast_repair_merge,5,1158.696252,True,0,0.006762
C206,nearest_neighbor,fast_repair_merge_elim,4,1040.963602,True,0,0.006762
C206,nearest_neighbor,full_ftv,4,984.344722,True,0,0.006762
C206,regret_insertion,fast_only,5,2965.859107,True,0,0.386361
C206,regret_insertion,fast_repair,5,2965.859107,True,0,0.386361
C206,regret_insertion,fast_repair_merge,5,2965.859107,True,0,0.386361
C206,regret_insertion,fast_repair_merge_elim,4,2394.262697,True,0,0.386361
C206,regret_insertion,full_ftv,4,1516.875797,True,0,0.386361
C207,greedy_insertion,fast_only,4,979.629568,True,0,0.346828
C207,greedy_insertion,fast_repair,4,979.629568,True,0,0.346828
C207,greedy_insertion,fast_repair_merge,4,979.629568,True,0,0.346828
C207,greedy_insertion,fast_repair_merge_elim,4,979.629568,True,0,0.346828
C207,greedy_insertion,full_ftv,4,805.411984,True,0,0.346828
C207,nearest_neighbor,fast_only,8,1292.972529,True,0,0.006417
C207,nearest_neighbor,fast_repair,8,1292.972529,True,0,0.006417
C207,nearest_neighbor,fast_repair_merge,5,1212.657725,True,0,0.006417
C207,nearest_neighbor,fast_repair_merge_elim,4,1021.747227,True,0,0.006417
C207,nearest_neighbor,full_ftv,4,927.261921,True,0,0.006417
C207,regret_insertion,fast_only,5,3085.365538,True,0,0.365244
C207,regret_insertion,fast_repair,5,3085.365538,True,0,0.365244
C207,regret_insertion,fast_repair_merge,5,3085.365538,True,0,0.365244
C207,regret_insertion,fast_repair_merge_elim,4,2607.469290,True,0,0.365244
C207,regret_insertion,full_ftv,4,1809.174277,True,0,0.365244
C208,greedy_insertion,fast_only,4,1182.865631,True,0,0.359821
C208,greedy_insertion,fast_repair,4,1182.865631,True,0,0.359821
C208,greedy_insertion,fast_repair_merge,4,1182.865631,True,0,0.359821
C208,greedy_insertion,fast_repair_merge_elim,4,1182.865631,True,0,0.359821
C208,greedy_insertion,full_ftv,4,907.206956,True,0,0.359821
C208,nearest_neighbor,fast_only,6,1145.229342,True,0,0.006660
C208,nearest_neighbor,fast_repair,6,1145.229342,True,0,0.006660
