dataset,method,initial_vehicles,initial_distance,vehicles,distance,feasible,violations,runtime,pairs,selected_seed,seed_pool
lrc204,greedy_pair_insertion,4,1189.328948,3,1194.323417,True,0,8.450547,51,,
lrc204,greedy_pair_insertion+pair_alns,3,1194.323417,3,943.018131,True,0,72.779273,51,23,"42,11,23"
lrc205,greedy_pair_insertion,6,1737.969807,5,1557.050372,True,0,3.752646,51,,
lrc205,greedy_pair_insertion+pair_alns,5,1557.050372,4,1769.974476,True,0,67.804206,51,42,"42,11,23"
lrc206,greedy_pair_insertion,5,1863.774934,4,1768.171517,True,0,5.858559,51,,
lrc206,greedy_pair_insertion+pair_alns,4,1768.171517,4,1409.139464,True,0,73.461395,51,11,"42,11,23"
lrc207,greedy_pair_insertion,4,1681.475968,4,1681.475968,True,0,7.682925,51,,
lrc207,greedy_pair_insertion+pair_alns,4,1681.475968,4,1518.987597,True,0,76.090040,51,23,"42,11,23"
lrc208,greedy_pair_insertion,4,1328.419380,4,1328.419380,True,0,7.840011,51,,
lrc208,greedy_pair_insertion+pair_alns,4,1328.419380,3,1308.508176,True,0,75.551348,51,42,"42,11,23"
