dataset,method,initial_vehicles,initial_distance,vehicles,distance,feasible,violations,runtime,pairs,selected_seed,seed_pool,bks_vehicles,bks_distance,vehicle_gap,distance_gap_pct,distance_gap_comparable,bks_source
lr209,greedy_pair_insertion+pair_alns,4,1397.601968,4,1105.095992,True,0,78.483041,51,23,"42,11,23",3,930.59,1,18.752189,False,SINTEF PDPTW 100 tasks
lr210,greedy_pair_insertion,4,1578.501825,4,1578.501825,True,0,7.402037,51,,,3,964.22,1,63.707642,False,SINTEF PDPTW 100 tasks
lr210,greedy_pair_insertion+pair_alns,4,1578.501825,4,1277.207986,True,0,73.198396,51,23,"42,11,23",3,964.22,1,32.460225,False,SINTEF PDPTW 100 tasks
lr211,greedy_pair_insertion,3,1412.286683,3,1412.286683,True,0,12.554296,50,,,2,911.52,1,54.937542,False,SINTEF PDPTW 100 tasks
lr211,greedy_pair_insertion+pair_alns,3,1412.286683,3,1193.469904,True,0,81.455656,50,11,"42,11,23",2,911.52,1,30.931840,False,SINTEF PDPTW 100 tasks
lrc101,greedy_pair_insertion,19,1988.293648,17,1902.834021,True,0,0.872394,53,,,14,1708.80,3,11.354987,False,SINTEF PDPTW 100 tasks
lrc101,greedy_pair_insertion+pair_alns,17,1902.834021,14,1708.801332,True,0,61.284612,53,42,"42,11,23",14,1708.80,0,0.000078,True,SINTEF PDPTW 100 tasks
lrc102,greedy_pair_insertion,17,1919.022139,15,1757.624760,True,0,1.139650,53,,,12,1558.07,3,12.807817,False,SINTEF PDPTW 100 tasks
lrc102,greedy_pair_insertion+pair_alns,15,1757.624760,14,1646.132943,True,0,62.174226,53,42,"42,11,23",12,1558.07,2,5.652053,False,SINTEF PDPTW 100 tasks
lrc103,greedy_pair_insertion,15,1641.425276,13,1539.918695,True,0,1.349714,53,,,11,1258.74,2,22.338108,False,SINTEF PDPTW 100 tasks
lrc103,greedy_pair_insertion+pair_alns,13,1539.918695,11,1258.737118,True,0,62.763641,53,23,"42,11,23",11,1258.74,0,-0.000229,True,SINTEF PDPTW 100 tasks
lrc104,greedy_pair_insertion,13,1470.892644,12,1407.606029,True,0,2.055924,54,,,10,1128.40,2,24.743533,False,SINTEF PDPTW 100 tasks
lrc104,greedy_pair_insertion+pair_alns,12,1407.606029,10,1214.141242,True,0,63.407998,54,11,"42,11,23",10,1128.40,0,7.598479,True,SINTEF PDPTW 100 tasks
lrc105,greedy_pair_insertion,20,2240.901212,17,1990.088486,True,0,1.169329,54,,,13,1637.62,4,21.523216,False,SINTEF PDPTW 100 tasks
lrc105,greedy_pair_insertion+pair_alns,17,1990.088486,14,1651.749427,True,0,62.305796,54,23,"42,11,23",13,1637.62,1,0.862803,False,SINTEF PDPTW 100 tasks
lrc106,greedy_pair_insertion,18,1990.937844,16,1876.730097,True,0,1.250227,53,,,11,1424.73,5,31.725316,False,SINTEF PDPTW 100 tasks
lrc106,greedy_pair_insertion+pair_alns,16,1876.730097,13,1537.195658,True,0,62.828199,53,11,"42,11,23",11,1424.73,2,7.893823,False,SINTEF PDPTW 100 tasks
lrc107,greedy_pair_insertion,14,1719.127456,13,1652.400885,True,0,1.430745,53,,,11,1230.14,2,34.326246,False,SINTEF PDPTW 100 tasks
lrc107,greedy_pair_insertion+pair_alns,13,1652.400885,11,1341.422354,True,0,63.187444,53,23,"42,11,23",11,1230.14,0,9.046316,True,SINTEF PDPTW 100 tasks
lrc108,greedy_pair_insertion,13,1424.292188,13,1424.292188,True,0,1.799363,52,,,10,1147.43,3,24.128896,False,SINTEF PDPTW 100 tasks
lrc108,greedy_pair_insertion+pair_alns,13,1424.292188,11,1193.304585,True,0,63.364246,52,11,"42,11,23",10,1147.43,1,3.998029,False,SINTEF PDPTW 100 tasks
lrc201,greedy_pair_insertion,6,1785.039154,5,1741.711266,True,0,3.708618,51,,,4,1406.94,1,23.794282,False,SINTEF PDPTW 100 tasks
lrc201,greedy_pair_insertion+pair_alns,5,1741.711266,5,1543.746582,True,0,67.415017,51,23,"42,11,23",4,1406.94,1,9.723697,False,SINTEF PDPTW 100 tasks
lrc202,greedy_pair_insertion,4,1818.010085,4,1818.010085,True,0,5.328079,51,,,3,1374.27,1,32.289149,False,SINTEF PDPTW 100 tasks
lrc202,greedy_pair_insertion+pair_alns,4,1818.010085,4,1496.974352,True,0,67.807279,51,11,"42,11,23",3,1374.27,1,8.928693,False,SINTEF PDPTW 100 tasks
lrc203,greedy_pair_insertion,5,1794.097945,4,1611.501656,True,0,5.983512,51,,,3,1089.07,1,47.970439,False,SINTEF PDPTW 100 tasks
lrc203,greedy_pair_insertion+pair_alns,4,1611.501656,4,1313.499449,True,0,71.473624,51,11,"42,11,23",3,1089.07,1,20.607440,False,SINTEF PDPTW 100 tasks
lrc204,greedy_pair_insertion,4,1189.328948,3,1194.323417,True,0,8.450547,51,,,3,818.66,0,45.887599,True,SINTEF PDPTW 100 tasks
lrc204,greedy_pair_insertion+pair_alns,3,1194.323417,3,943.018131,True,0,72.779273,51,23,"42,11,23",3,818.66,0,15.190449,True,SINTEF PDPTW 100 tasks
lrc205,greedy_pair_insertion,6,1737.969807,5,1557.050372,True,0,3.752646,51,,,4,1302.20,1,19.570755,False,SINTEF PDPTW 100 tasks
lrc205,greedy_pair_insertion+pair_alns,5,1557.050372,4,1769.974476,True,0,67.804206,51,42,"42,11,23",4,1302.20,0,35.921861,True,SINTEF PDPTW 100 tasks
lrc206,greedy_pair_insertion,5,1863.774934,4,1768.171517,True,0,5.858559,51,,,3,1159.03,1,52.556148,False,SINTEF PDPTW 100 tasks
lrc206,greedy_pair_insertion+pair_alns,4,1768.171517,4,1409.139464,True,0,73.461395,51,11,"42,11,23",3,1159.03,1,21.579205,False,SINTEF PDPTW 100 tasks
lrc207,greedy_pair_insertion,4,1681.475968,4,1681.475968,True,0,7.682925,51,,,3,1062.05,1,58.323616,False,SINTEF PDPTW 100 tasks
lrc207,greedy_pair_insertion+pair_alns,4,1681.475968,4,1518.987597,True,0,76.090040,51,23,"42,11,23",3,1062.05,1,43.024113,False,SINTEF PDPTW 100 tasks
lrc208,greedy_pair_insertion,4,1328.419380,4,1328.419380,True,0,7.840011,51,,,3,852.76,1,55.778810,False,SINTEF PDPTW 100 tasks
lrc208,greedy_pair_insertion+pair_alns,4,1328.419380,3,1308.508176,True,0,75.551348,51,42,"42,11,23",3,852.76,0,53.443897,True,SINTEF PDPTW 100 tasks
