dataset,method,initial_vehicles,initial_distance,vehicles,distance,feasible,violations,runtime,bks_vehicles,bks_distance,vehicle_gap,distance_gap_pct,distance_gap_comparable,bks_source
R103,regret_insertion,18,2403.748214,16,1755.250652,True,0,5.041631,13,1292.68,3,35.783848,False,SINTEF VRPTW 100 customers
R104,greedy_insertion,13,1419.540205,11,1213.051277,True,0,5.941827,9,1007.31,2,20.424822,False,SINTEF VRPTW 100 customers
R104,nearest_neighbor,18,1519.349559,11,1223.784051,True,0,0.034014,9,1007.31,2,21.490311,False,SINTEF VRPTW 100 customers
R104,regret_insertion,18,3027.142229,18,2985.976578,True,0,4.692731,9,1007.31,9,196.430749,False,SINTEF VRPTW 100 customers
R105,greedy_insertion,17,1834.944390,16,1504.366936,True,0,5.362350,14,1377.11,2,9.240869,False,SINTEF VRPTW 100 customers
R105,nearest_neighbor,27,2238.600462,17,1630.795415,True,0,0.058506,14,1377.11,3,18.421580,False,SINTEF VRPTW 100 customers
R105,regret_insertion,22,2762.145296,20,2188.716046,True,0,4.791296,14,1377.11,6,58.935455,False,SINTEF VRPTW 100 customers
R106,greedy_insertion,17,1832.693986,14,1471.441627,True,0,5.648189,12,1252.03,2,17.524470,False,SINTEF VRPTW 100 customers
R106,nearest_neighbor,28,2168.738641,16,1742.064430,True,0,0.040193,12,1252.03,4,39.139192,False,SINTEF VRPTW 100 customers
R106,regret_insertion,19,2831.994750,16,2238.876089,True,0,4.721937,12,1252.03,4,78.819684,False,SINTEF VRPTW 100 customers
R107,greedy_insertion,14,1565.102614,13,1368.839320,True,0,5.710811,10,1104.66,3,23.914989,False,SINTEF VRPTW 100 customers
R107,nearest_neighbor,21,1818.549641,13,1401.737516,True,0,0.049114,10,1104.66,3,26.893118,False,SINTEF VRPTW 100 customers
R107,regret_insertion,19,3069.096164,17,2482.509404,True,0,4.530913,10,1104.66,7,124.730632,False,SINTEF VRPTW 100 customers
R108,greedy_insertion,12,1341.226401,11,1141.482514,True,0,6.034200,9,960.88,2,18.795533,False,SINTEF VRPTW 100 customers
R108,nearest_neighbor,16,1505.367879,11,1311.921639,True,0,0.020187,9,960.88,2,36.533348,False,SINTEF VRPTW 100 customers
R108,regret_insertion,19,3158.884796,16,2365.668621,True,0,4.596712,9,960.88,7,146.198133,False,SINTEF VRPTW 100 customers
R109,greedy_insertion,15,1683.322885,14,1450.918736,True,0,5.630494,11,1194.73,3,21.443233,False,SINTEF VRPTW 100 customers
R109,nearest_neighbor,19,1749.905313,14,1477.529637,True,0,0.024276,11,1194.73,3,23.670590,False,SINTEF VRPTW 100 customers
R109,regret_insertion,21,3064.361994,18,2211.211101,True,0,4.768015,11,1194.73,7,85.080403,False,SINTEF VRPTW 100 customers
R110,greedy_insertion,13,1494.187489,13,1348.369474,True,0,5.716574,10,1118.84,3,20.514951,False,SINTEF VRPTW 100 customers
R110,nearest_neighbor,18,1738.352262,13,1404.851087,True,0,0.023030,10,1118.84,3,25.563180,False,SINTEF VRPTW 100 customers
R110,regret_insertion,20,3090.886583,16,2128.107111,True,0,4.696311,10,1118.84,6,90.206563,False,SINTEF VRPTW 100 customers
R111,greedy_insertion,15,1591.661993,13,1348.029684,True,0,5.727639,10,1096.73,3,22.913542,False,SINTEF VRPTW 100 customers
R111,nearest_neighbor,19,1691.279006,13,1343.574821,True,0,0.022102,10,1096.73,3,22.507346,False,SINTEF VRPTW 100 customers
R111,regret_insertion,20,3274.429510,16,1979.831537,True,0,4.578409,10,1096.73,6,80.521326,False,SINTEF VRPTW 100 customers
R112,greedy_insertion,12,1428.443885,12,1289.936740,True,0,5.877532,9,982.14,3,31.339396,False,SINTEF VRPTW 100 customers
R112,nearest_neighbor,14,1364.931203,12,1196.990368,True,0,0.018814,9,982.14,3,21.875737,False,SINTEF VRPTW 100 customers
R112,regret_insertion,19,3143.356093,17,2557.077427,True,0,4.567718,9,982.14,8,160.357732,False,SINTEF VRPTW 100 customers
R201,greedy_insertion,5,1855.377752,4,1507.200026,True,0,11.209045,4,1252.37,0,20.347823,True,SINTEF VRPTW 100 customers
